# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
1,FS,212,0:24.828.007,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,213,0:24.828.010,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,214,0:24.828.018,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,215,0:25.442.063,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,216,0:24.860.011,608.011.083 ms,7 B,,49,01,IN txn   [19 POLL],80 80 80 80 0F 00 00
1,FS,217,0:24.860.011,576.002.666 ms,,,49,01,   [19 IN-NAK],
1,FS,218,0:25.468.010,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,219,0:25.468.014,6.750 us,10 B,,49,01,   DATA1 packet,4B 80 80 80 80 0F 00 00 62 EA
1,FS,220,0:25.468.022,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,221,0:25.885.065,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,FS,222,0:25.500.019,416.006.250 ms,7 B,,49,01,IN txn   [13 POLL],80 80 80 80 0F 04 00
1,FS,223,0:25.500.019,383.997.916 ms,,,49,01,   [13 IN-NAK],
1,FS,224,0:25.916.013,2.083 us,3 B,,49,01,   IN packet,69 B1 30
1,FS,225,0:25.916.016,6.750 us,10 B,,49,01,   DATA0 packet,C3 80 80 80 80 0F 04 00 60 2A
1,FS,226,0:25.916.024,750 ns,1 B,,49,01,   ACK packet,D2
0,FS,227,0:26.324.067,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,FS,228,0:25.948.038,383.989.750 ms,7 B,,49,01,IN txn   [12 POLL],80 80 80 80 0F 00 00
1,FS,229,0:25.948.038,351.981.333 ms,,,49,01,   [12 IN-NAK],
1,FS,230,0:26.332.015,2.083 us,3 B,,49,01,   IN packet,69 B1 30
