# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
1,HS,194,0:30.009.867,721.745.783 ms,,,48,02,   [5775 IN-NAK],
1,HS,195,0:30.731.737,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,196,0:30.731.738,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,197,0:30.731.738,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,198,0:31.365.609,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,199,0:30.731.873,633.869.783 ms,12 B,,48,02,IN txn   [5071 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,200,0:30.731.873,633.744.083 ms,,,48,02,   [5071 IN-NAK],
1,HS,201,0:31.365.742,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,202,0:31.365.742,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,203,0:31.365.743,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,204,0:31.981.613,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,205,0:31.365.876,615.871.366 ms,12 B,,48,02,IN txn   [4927 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,206,0:31.365.876,615.745.666 ms,,,48,02,   [4927 IN-NAK],
1,HS,207,0:31.981.747,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,208,0:31.981.747,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,209,0:31.981.748,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,210,0:32.836.618,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,211,0:31.981.883,854.871.400 ms,12 B,,48,02,IN txn   [6839 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,212,0:31.981.883,854.745.683 ms,,,48,02,   [6839 IN-NAK],
1,HS,213,0:32.836.753,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,214,0:32.836.754,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,215,0:32.836.754,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,216,0:33.587.623,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,217,0:32.836.880,750.880.100 ms,12 B,,48,02,IN txn   [6007 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,218,0:32.836.880,750.754.416 ms,,,48,02,   [6007 IN-NAK],
1,HS,219,0:33.587.759,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,220,0:33.587.759,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,221,0:33.587.760,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,222,0:34.269.627,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,223,0:33.587.887,681.878.450 ms,12 B,,48,02,IN txn   [5455 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,224,0:33.587.887,681.752.733 ms,,,48,02,   [5455 IN-NAK],
1,HS,225,0:34.269.764,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,226,0:34.269.764,266 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,227,0:34.269.765,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,228,0:35.144.632,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,229,0:34.269.900,874.872.250 ms,12 B,,48,02,IN txn   [6999 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,230,0:34.269.900,874.746.550 ms,,,48,02,   [6999 IN-NAK],
1,HS,231,0:35.144.771,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,232,0:35.144.771,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,233,0:35.144.772,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,234,0:35.808.636,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,235,0:35.144.898,663.878.316 ms,12 B,,48,02,IN txn   [5311 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,236,0:35.144.898,663.752.616 ms,,,48,02,   [5311 IN-NAK],
1,HS,237,0:35.808.776,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,238,0:35.808.776,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,239,0:35.808.777,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,240,0:36.525.641,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,241,0:35.808.911,716.871.000 ms,12 B,,48,02,IN txn   [5735 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,242,0:35.808.911,716.745.300 ms,,,48,02,   [5735 IN-NAK],
1,HS,243,0:36.525.781,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,244,0:36.525.781,283 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,245,0:36.525.782,50 ns,1 B,,48,02,   ACK packet,D2
0,HS,246,0:37.522.647,,,,,,Digital input,<Change on pins: 1; New Value = 0x0 (0000b)>
0,HS,247,0:36.525.917,996.873.116 ms,12 B,,48,02,IN txn   [7975 POLL],80 00 00 00 0F 00 00 00 00 00 00 00
1,HS,248,0:36.525.917,996.747.416 ms,,,48,02,   [7975 IN-NAK],
1,HS,249,0:37.522.789,66 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,250,0:37.522.789,283 ns,15 B,,48,02,   DATA1 packet,4B 80 00 00 00 0F 00 00 00 00 00 00 00 D9 C3
1,HS,251,0:37.522.790,33 ns,1 B,,48,02,   ACK packet,D2
0,HS,252,0:38.469.653,,,,,,Digital input,<Change on pins: 1; New Value = 0x1 (0001b)>
0,HS,253,0:37.522.924,946.872.733 ms,12 B,,48,02,IN txn   [7575 POLL],00 00 00 00 0F 00 00 00 00 00 00 00
1,HS,254,0:37.522.924,946.747.016 ms,,,48,02,   [7575 IN-NAK],
1,HS,255,0:38.469.796,83 ns,3 B,,48,02,   IN packet,69 30 51
1,HS,256,0:38.469.796,266 ns,15 B,,48,02,   DATA0 packet,C3 00 00 00 00 0F 00 00 00 00 00 00 00 DB BD
1,HS,257,0:38.469.797,50 ns,1 B,,48,02,   ACK packet,D2
