# Total Phase Data Center(tm) v7.01
# (c) 2005-2021 Total Phase, Inc.
# www.totalphase.com
#
# 
#
# Level,Sp,Index,m:s.ms.us,Dur,Len,Err,Dev,Ep,Record,Summary
0,FS,264,0:09.617.500,54.754.500 ms,,,,,<Reset> / <Chirp J> / <Tiny J>,
0,FS,265,0:09.672.255,,,,,,<Full-speed>,
0,FS,266,0:09.705.331,46.583 us,0 B,,00,00,Set Address,Address=11
1,FS,267,0:09.705.331,12.666 us,8 B,,00,00,   SETUP txn,00 05 0B 00 00 00 00 00
2,FS,268,0:09.705.331,2.083 us,3 B,,00,00,      SETUP packet,2D 00 10
2,FS,269,0:09.705.335,7.516 us,11 B,,00,00,      DATA0 packet,C3 00 05 0B 00 00 00 00 00 EB 8F
2,FS,270,0:09.705.343,750 ns,1 B,,00,00,      ACK packet,D2
1,FS,271,0:09.705.345,32.666 us,0 B,,00,00,   IN txn   [1 POLL],
2,FS,272,0:09.705.345,4.083 us,,,00,00,      [1 IN-NAK],
2,FS,273,0:09.705.371,2.083 us,3 B,,00,00,      IN packet,69 00 10
